"Cluster","group","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Control","Control","Autosis(autophagic_cell_death)_GeneCards","Autosis(autophagic_cell_death)_GeneCards","5/15","248/3486",0.0201612903225806,4.68548387096774,3.95823565956721,0.00290689720740903,0.00898495500471882,0.00445075170512387,"RPL8/CS/CYBB/G6PD/PGD",5
"Control","Control","Ferroptosis_STAD_35023280","Ferroptosis_STAD_35023280","2/15","31/3486",0.0645161290322581,14.9935483870968,5.14404061374568,0.00747854925432763,0.0211892228872616,0.0104962094797581,"ACSF2/NOX4",2
"Control","Control","Mitochondrial permeability transition (MPT)-driven necrosis_GeneCards","Mitochondrial permeability transition (MPT)-driven necrosis_GeneCards","2/15","35/3486",0.0571428571428571,13.28,4.79931906375219,0.00947475887453538,0.0247801385949387,0.0122749912544588,"CS/NOX5",2
"Control","Control","Ferroptosis_DKD_38678670","Ferroptosis_DKD_38678670","2/15","51/3486",0.0392156862745098,9.11372549019608,3.83673444878409,0.0195131649631151,0.0473891149104224,0.0234744841661535,"CYBB/DUOX2",2
"Treatment","Treatment","Ferroptosis_FerrDb V2(36305834)","Ferroptosis_FerrDb V2(36305834)","100/100","486/3486",0.205761316872428,7.17283950617284,25.2057954214832,1.96327739197092e-90,1.7080513310147e-88,3.09991167153303e-89,"RPL8/IREB2/ATP5MC3/CS/EMC2/ACSF2/NOX1/CYBB/NOX3/NOX4/NOX5/DUOX1/DUOX2/G6PD/PGD/VDAC2/PIK3CA/FLT3/SCP2/TP53/ACSL4/LPCAT3/NRAS/KRAS/HRAS/TF/TFRC/TFR2/SLC38A1/SLC1A5/GLS2/GOT1/CARS1/ALOX5/KEAP1/HMOX1/ATG5/ATG7/NCOA4/ALOX12/ALOX12B/ALOX15/ALOX15B/ALOXE3/PHKG2/ACO1/ULK1/ATG3/ATG4D/BECN1/MAP1LC3A/GABARAPL2/GABARAPL1/ATG16L1/WIPI1/WIPI2/SNX4/ATG13/ULK2/SAT1/EGFR/MAPK3/MAPK1/BID/ZEB1/DPP4/CDKN2A/PEBP1/SOCS1/CDO1/MYB/MAPK8/MAPK9/CHAC1/MAPK14/PRKAA2/PRKAA1/ELAVL1/BAP1/ABCC1/ACVR1B/TGFBR1/EPAS1/HILPDA/HIF1A/IFNG/ANO6/LPIN1/HMGB1/TNFAIP3/TLR4/ATF3/ATM/YY1AP1/EGLN2/MIOX/TAFAZZIN/MTDH/IDH1/SIRT1",100
"Treatment","Treatment","Intrinsic apoptosis_GeneCards","Intrinsic apoptosis_GeneCards","87/100","406/3486",0.214285714285714,7.47,23.8314163177051,1.62078134785227e-70,7.05039886315739e-69,1.27956422198864e-69,"RPL8/IREB2/CS/NOX1/CYBB/NOX3/NOX4/DUOX1/DUOX2/G6PD/PGD/VDAC2/PIK3CA/FLT3/SCP2/TP53/ACSL4/LPCAT3/NRAS/KRAS/HRAS/TF/TFRC/TFR2/SLC38A1/SLC1A5/GOT1/CARS1/ALOX5/KEAP1/HMOX1/ATG5/ATG7/NCOA4/ALOX12/ALOX12B/ALOX15/ACO1/ULK1/ATG3/BECN1/MAP1LC3A/GABARAPL2/GABARAPL1/ATG16L1/SNX4/ATG13/ULK2/SAT1/EGFR/MAPK3/MAPK1/BID/ZEB1/DPP4/CDKN2A/PEBP1/SOCS1/MYB/MAPK8/MAPK9/CHAC1/MAPK14/PRKAA2/PRKAA1/ELAVL1/BAP1/ABCC1/ACVR1B/TGFBR1/EPAS1/HILPDA/HIF1A/IFNG/ANO6/LPIN1/HMGB1/TNFAIP3/TLR4/ATF3/ATM/YY1AP1/EGLN2/TAFAZZIN/MTDH/IDH1/SIRT1",87
"Treatment","Treatment","Mitotic death_GeneCards","Mitotic death_GeneCards","80/100","343/3486",0.233236151603499,8.13061224489796,23.8978925689517,3.31388837554256e-65,9.61027628907341e-64,1.74415177660135e-64,"RPL8/IREB2/ATP5MC3/CS/EMC2/NOX1/CYBB/NOX4/DUOX1/DUOX2/G6PD/PGD/VDAC2/PIK3CA/FLT3/TP53/ACSL4/NRAS/KRAS/HRAS/TF/TFRC/TFR2/SLC38A1/SLC1A5/CARS1/ALOX5/KEAP1/HMOX1/ATG5/ATG7/ALOX15/PHKG2/ACO1/ULK1/ATG3/BECN1/MAP1LC3A/GABARAPL2/GABARAPL1/ATG16L1/WIPI2/SNX4/ATG13/SAT1/EGFR/MAPK3/MAPK1/BID/ZEB1/DPP4/CDKN2A/PEBP1/SOCS1/MYB/MAPK8/MAPK9/CHAC1/MAPK14/PRKAA2/PRKAA1/ELAVL1/BAP1/ABCC1/ACVR1B/TGFBR1/EPAS1/HIF1A/IFNG/LPIN1/HMGB1/TNFAIP3/TLR4/ATF3/ATM/YY1AP1/EGLN2/MTDH/IDH1/SIRT1",80
"Treatment","Treatment","Ferroptosis_Pan Cancer_37968457","Ferroptosis_Pan Cancer_37968457","64/100","252/3486",0.253968253968254,8.85333333333333,22.2403802553181,7.01470038295196e-51,1.52569733329205e-49,2.76896067748104e-50,"CS/EMC2/NOX1/CYBB/NOX3/NOX5/DUOX1/DUOX2/G6PD/PGD/FLT3/SCP2/NRAS/KRAS/HRAS/TFR2/CARS1/ATG7/ALOX12B/ALOX15B/ALOXE3/PHKG2/ACO1/ULK1/ATG3/ATG4D/MAP1LC3A/GABARAPL2/GABARAPL1/ATG16L1/WIPI1/WIPI2/SNX4/ATG13/ULK2/SAT1/EGFR/BID/DPP4/CDKN2A/PEBP1/SOCS1/CDO1/MYB/MAPK8/MAPK9/PRKAA2/PRKAA1/ABCC1/ACVR1B/TGFBR1/EPAS1/HILPDA/IFNG/ANO6/LPIN1/TNFAIP3/TLR4/ATM/YY1AP1/EGLN2/MIOX/MTDH/IDH1",64
"Treatment","Treatment","Autosis(autophagic_cell_death)_GeneCards","Autosis(autophagic_cell_death)_GeneCards","63/100","248/3486",0.254032258064516,8.85556451612903,22.0557958003159,6.75337367807491e-50,1.17508701998503e-48,2.13264431939208e-49,"RPL8/CS/CYBB/G6PD/PGD/VDAC2/PIK3CA/TP53/NRAS/KRAS/HRAS/TF/TFRC/SLC38A1/SLC1A5/GLS2/CARS1/ALOX5/KEAP1/HMOX1/ATG5/ATG7/NCOA4/ALOX15/ULK1/ATG3/ATG4D/BECN1/MAP1LC3A/GABARAPL2/GABARAPL1/ATG16L1/WIPI1/WIPI2/SNX4/ATG13/ULK2/EGFR/MAPK3/MAPK1/BID/ZEB1/DPP4/CDKN2A/PEBP1/MAPK8/MAPK9/MAPK14/PRKAA2/PRKAA1/ELAVL1/ABCC1/EPAS1/HIF1A/IFNG/HMGB1/TNFAIP3/TLR4/ATF3/ATM/TAFAZZIN/MTDH/SIRT1",63
"Treatment","Treatment","Extrinsic apoptosis_GeneCards","Extrinsic apoptosis_GeneCards","51/100","174/3486",0.293103448275862,10.2175862068966,21.4340669259657,2.8427935126728e-42,4.12205059337555e-41,7.48103555966525e-42,"NOX4/G6PD/VDAC2/PIK3CA/FLT3/TP53/NRAS/KRAS/HRAS/TF/TFRC/ALOX5/KEAP1/HMOX1/ATG5/ALOX15/ACO1/ULK1/BECN1/MAP1LC3A/WIPI1/WIPI2/EGFR/MAPK3/MAPK1/BID/ZEB1/CDKN2A/SOCS1/MYB/MAPK8/MAPK9/MAPK14/PRKAA1/BAP1/ABCC1/ACVR1B/TGFBR1/EPAS1/HIF1A/IFNG/ANO6/HMGB1/TNFAIP3/TLR4/ATF3/ATM/EGLN2/MTDH/IDH1/SIRT1",51
"Treatment","Treatment","Autophagy_Pan Cancer_35241019","Autophagy_Pan Cancer_35241019","33/100","81/3486",0.407407407407407,14.2022222222222,20.658030022214,8.10990771883475e-32,1.0079456736266e-30,1.82930249297024e-31,"PIK3CA/TP53/KEAP1/HMOX1/ATG5/ATG7/ULK1/ATG3/ATG4D/BECN1/MAP1LC3A/GABARAPL2/GABARAPL1/ATG16L1/WIPI1/WIPI2/ATG13/ULK2/EGFR/MAPK3/MAPK1/BID/CDKN2A/MAPK8/MAPK9/PRKAA2/PRKAA1/HIF1A/IFNG/HMGB1/ATM/MTDH/SIRT1",33
"Treatment","Treatment","Ferroptosis_STAD_35023280","Ferroptosis_STAD_35023280","20/100","31/3486",0.645161290322581,22.4903225806452,20.6517885585447,1.29980582847988e-24,1.41353883847186e-23,2.56540624042081e-24,"ACSF2/NOX4/TP53/TF/TFRC/SLC1A5/ALOX12/ALOX15/MAPK3/ZEB1/DPP4/CDKN2A/CDO1/MYB/CHAC1/PRKAA2/HIF1A/IFNG/ATF3/MIOX",20
"Treatment","Treatment","Mitotic_catastrophe_GeneCards","Mitotic_catastrophe_GeneCards","24/100","80/3486",0.3,10.458,14.7055033929137,2.52234817073782e-19,2.43826989837989e-18,4.4251722293646e-19,"IREB2/VDAC2/PIK3CA/TP53/KRAS/HMOX1/ATG5/ACO1/ATG3/EGFR/MAPK3/BID/CDKN2A/MYB/MAPK8/MAPK14/ELAVL1/BAP1/TGFBR1/EPAS1/HIF1A/IFNG/ATM/IDH1",24
"Treatment","Treatment","Autophagy_Pan Cancer_36703967","Autophagy_Pan Cancer_36703967","17/100","32/3486",0.53125,18.519375,17.1076495681528,5.95388878673491e-19,4.90320742546552e-18,8.89874305892109e-19,"ATG5/ATG7/ULK1/ATG3/ATG4D/BECN1/MAP1LC3A/GABARAPL2/GABARAPL1/ATG16L1/WIPI1/WIPI2/ATG13/PRKAA2/PRKAA1/EPAS1/ATM",17
"Treatment","Treatment","Ferroptosis_DLBCL_39488307","Ferroptosis_DLBCL_39488307","16/100","27/3486",0.592592592592593,20.6577777777778,17.6197173234494,6.19945766438169e-19,4.90320742546552e-18,8.89874305892109e-19,"TP53/TFRC/TFR2/SLC38A1/SLC1A5/ALOX15/ACO1/ATG3/SNX4/SAT1/DPP4/PEBP1/SOCS1/ABCC1/LPIN1/ATM",16
"Treatment","Treatment","Lysosome-dependentcelldeath_GeneCards","Lysosome-dependentcelldeath_GeneCards","19/100","48/3486",0.395833333333333,13.79875,15.342394756229,5.04236383895415e-18,3.65571378324176e-17,6.63468926178177e-18,"TP53/SLC1A5/ATG5/NCOA4/ULK1/BECN1/MAP1LC3A/GABARAPL2/GABARAPL1/ATG13/ULK2/EGFR/PEBP1/MAPK14/PRKAA1/HIF1A/HMGB1/ATM/SIRT1",19
"Treatment","Treatment","Ferroptosis_ALI_37149072","Ferroptosis_ALI_37149072","20/100","58/3486",0.344827586206897,12.0206896551724,14.5432100659793,1.55099474931747e-17,1.03797340915861e-16,1.88379929066899e-17,"ACSF2/VDAC2/NRAS/HMOX1/NCOA4/ALOX12/GABARAPL2/MAPK3/BID/DPP4/SOCS1/CDO1/MYB/MAPK8/MAPK14/PRKAA2/TGFBR1/HIF1A/TLR4/MTDH",20
"Treatment","Treatment","Ferroptosis_Pediatric Sepsis_40070882","Ferroptosis_Pediatric Sepsis_40070882","21/100","74/3486",0.283783783783784,9.8927027027027,13.2862688538639,2.12062496993304e-16,1.31781694560125e-15,2.39168229691696e-16,"G6PD/PGD/FLT3/ACSL4/SLC38A1/SLC1A5/ALOX5/ALOX12/ALOX15B/ULK1/GABARAPL2/WIPI1/MAPK3/ZEB1/DPP4/MAPK8/MAPK14/ACVR1B/TLR4/ATM/IDH1",21
"Treatment","Treatment","Mitochondrial permeability transition (MPT)-driven necrosis_GeneCards","Mitochondrial permeability transition (MPT)-driven necrosis_GeneCards","15/100","35/3486",0.428571428571429,14.94,14.2423689040948,5.10408543920622e-15,2.96036955473961e-14,5.37272151495391e-15,"CS/NOX5/TP53/ALOX5/HMOX1/ATG5/EGFR/MAPK3/MAPK1/BID/CDKN2A/MAPK8/MAPK14/IFNG/ATM",15
"Treatment","Treatment","Anoikis_Pan Cancer_37275895","Anoikis_Pan Cancer_37275895","17/100","60/3486",0.283333333333333,9.877,11.9180740667295,2.14103081676454e-13,1.16418550661572e-12,2.11285935864922e-13,"NOX4/PIK3CA/TP53/NRAS/KRAS/HRAS/HMOX1/EGFR/MAPK3/MAPK1/BID/ZEB1/CDKN2A/MAPK8/HIF1A/MTDH/SIRT1",17
"Treatment","Treatment","Accidental cell death_GeneCards","Accidental cell death_GeneCards","15/100","44/3486",0.340909090909091,11.8840909090909,12.4844950109,2.92887834977519e-13,1.49889656723789e-12,2.72032044870761e-13,"CS/DUOX1/DUOX2/FLT3/SCP2/TP53/TF/ALOX5/NCOA4/EGFR/CDKN2A/MAPK14/IFNG/TLR4/ATM",15
"Treatment","Treatment","Disulfidptosis_CD_38433839","Disulfidptosis_CD_38433839","18/100","75/3486",0.24,8.3664,11.0816131171099,9.25926303076216e-13,4.47531046486838e-12,8.12216055330014e-13,"ACSF2/CYBB/DUOX2/G6PD/SCP2/ACSL4/LPCAT3/TFRC/BID/PEBP1/SOCS1/CHAC1/ABCC1/TGFBR1/HIF1A/IFNG/LPIN1/TLR4",18
"Treatment","Treatment","Ferroptosis_AML_Prognosis_36338716","Ferroptosis_AML_Prognosis_36338716","10/100","18/3486",0.555555555555556,19.3666666666667,13.4240934449046,8.68335837040868e-12,3.97606409592398e-11,7.21608728842827e-12,"ACSF2/G6PD/LPCAT3/GOT1/KEAP1/HMOX1/NCOA4/SAT1/DPP4/CHAC1",10
"Treatment","Treatment","Ferroptosis_DKD_38678670","Ferroptosis_DKD_38678670","14/100","51/3486",0.274509803921569,9.56941176470588,10.5932846698056,5.48309461840139e-11,2.3851461590046e-10,4.32875890926425e-11,"CYBB/DUOX2/TP53/ACSL4/ALOX5/ALOX12/ALOXE3/ULK1/BID/SOCS1/MYB/MAPK8/EPAS1/TLR4",14
"Treatment","Treatment","Ferroptosis_PD_Prognosis_40465746","Ferroptosis_PD_Prognosis_40465746","14/100","55/3486",0.254545454545455,8.87345454545454,10.1133310723543,1.68068773457287e-10,6.96284918608759e-10,1.26367498840065e-10,"RPL8/NOX4/NOX5/DUOX1/DUOX2/G6PD/ACSL4/SLC38A1/ALOX15/ALOX15B/CDKN2A/PRKAA2/EGLN2/MIOX",14
"Treatment","Treatment","Apoptosis_Pan Cancer_36703967","Apoptosis_Pan Cancer_36703967","10/100","23/3486",0.434782608695652,15.1565217391304,11.70448061695,2.01524309858613e-10,7.96937043531788e-10,1.4463467214733e-10,"PIK3CA/TP53/MAPK3/MAPK1/BID/CDKN2A/MAPK8/HMGB1/TLR4/ATM",10
"Treatment","Treatment","Ferroptosis_Gliomas_Prognosis_35711838","Ferroptosis_Gliomas_Prognosis_35711838","9/100","19/3486",0.473684210526316,16.5126315789474,11.6504653404959,6.67742914268906e-10,2.52581015397369e-09,4.58404746637693e-10,"ALOX5/ALOXE3/MAP1LC3A/WIPI1/MAPK1/ZEB1/SOCS1/CHAC1/TNFAIP3",9
"Treatment","Treatment","Necroptosis_Glioma_Prognosis_36466844","Necroptosis_Glioma_Prognosis_36466844","10/100","26/3486",0.384615384615385,13.4076923076923,10.9118290626568,8.71071523164945e-10,3.15763427147292e-09,5.73073370503253e-10,"CYBB/VDAC2/ALOX15/BID/MAPK8/MAPK9/IFNG/HMGB1/TNFAIP3/TLR4",10
"Treatment","Treatment","NETosis_Pan Cancer_37408763","NETosis_Pan Cancer_37408763","7/100","12/3486",0.583333333333333,20.335,11.5286328019721,9.12904581547511e-09,3.17690794378534e-08,5.76571314661586e-09,"CYBB/PIK3CA/ATG7/MAPK3/MAPK1/HMGB1/TLR4",7
"Treatment","Treatment","Necroptosis_BRCA_Prognosis_37787960","Necroptosis_BRCA_Prognosis_37787960","10/100","35/3486",0.285714285714286,9.96,9.15434902300496,2.42905666437311e-08,8.12799730001773e-08,1.47513562613752e-08,"CYBB/VDAC2/ALOX15/BID/MAPK8/MAPK9/IFNG/HMGB1/TNFAIP3/TLR4",10
"Treatment","Treatment","Ferroptosis_IDD_Up_36814575","Ferroptosis_IDD_Up_36814575","12/100","58/3486",0.206896551724138,7.21241379310345,8.19807486072227,4.76804145439108e-08,1.53636891308157e-07,2.78832833590122e-08,"EMC2/DUOX1/VDAC2/TFR2/SLC1A5/HMOX1/ALOX15B/MAPK1/HIF1A/ANO6/TNFAIP3/MTDH",12
"Treatment","Treatment","Ferroptosis_Glioma_Prognosis_32733879","Ferroptosis_Glioma_Prognosis_32733879","7/100","15/3486",0.466666666666667,16.268,10.182593070589,6.90933475719102e-08,2.14682901384149e-07,3.89624140443102e-08,"EMC2/LPCAT3/ALOX5/NCOA4/ALOX12B/SAT1/DPP4",7
"Treatment","Treatment","Cuproptosis_CuPCA","Cuproptosis_CuPCA","11/100","51/3486",0.215686274509804,7.51882352941176,8.0584006528546,1.14284334953964e-07,3.42853004861891e-07,6.22237758370039e-08,"CYBB/PIK3CA/TFRC/GOT1/ACO1/BECN1/CDKN2A/PEBP1/ABCC1/TNFAIP3/IDH1",11
"Treatment","Treatment","Immunogenic Cell Death_HCC_38681068","Immunogenic Cell Death_HCC_38681068","5/100","7/3486",0.714285714285714,24.9,10.8762109133931,3.52984178580758e-07,9.6009858224642e-07,1.74246566650893e-07,"PIK3CA/TP53/ATG5/HMGB1/TLR4",5
"Treatment","Treatment","Immunogenic Cell Death_Pan Cancer_27057433","Immunogenic Cell Death_Pan Cancer_27057433","5/100","7/3486",0.714285714285714,24.9,10.8762109133931,3.52984178580758e-07,9.6009858224642e-07,1.74246566650893e-07,"PIK3CA/ATG5/IFNG/HMGB1/TLR4",5
"Treatment","Treatment","Apoptosis_Pan Cancer_37968457","Apoptosis_Pan Cancer_37968457","8/100","26/3486",0.307692307692308,10.7261538461538,8.55357511892327,3.53139708412476e-07,9.6009858224642e-07,1.74246566650893e-07,"TP53/BECN1/EGFR/MAPK1/MAPK8/MAPK14/MIOX/SIRT1",8
"Treatment","Treatment","Apoptosis_Pan cancer_36044785","Apoptosis_Pan cancer_36044785","8/100","27/3486",0.296296296296296,10.3288888888889,8.36169718786349,4.90042452248044e-07,1.29193010138121e-06,2.34470072845954e-07,"VDAC2/PIK3CA/TP53/HMOX1/SAT1/BID/ATF3/ATM",8
"Treatment","Treatment","Disulfidptosis_AS_38433839","Disulfidptosis_AS_38433839","6/100","14/3486",0.428571428571429,14.94,8.98038276431901,1.19611707029491e-06,3.06065250340168e-06,5.55472323666367e-07,"CS/ACSL4/SLC38A1/ACO1/MYB/HMGB1",6
"Treatment","Treatment","Necroptosis_COAD_36353119","Necroptosis_COAD_36353119","6/100","16/3486",0.375,13.0725,8.31668748439386,3.04396841169987e-06,7.56643576622538e-06,1.3732188323458e-06,"CYBB/VDAC2/BID/MAPK8/IFNG/HMGB1",6
"Treatment","Treatment","Disulfidptosis_UC_38433839","Disulfidptosis_UC_38433839","10/100","57/3486",0.175438596491228,6.11578947368421,6.69151203786069,3.38036980024262e-06,8.169227017253e-06,1.48261833343975e-06,"ACSF2/DUOX2/ACSL4/ALOX5/MYB/CHAC1/HIF1A/ANO6/TLR4/ATF3",10
"Treatment","Treatment","Anoikis_LUSC_40028162","Anoikis_LUSC_40028162","7/100","26/3486",0.269230769230769,9.38538461538462,7.37444814705651,5.44651060810128e-06,1.28066600785084e-05,2.32425772749699e-06,"NOX4/HRAS/HMOX1/EGFR/BID/ZEB1/CDKN2A",7
"Treatment","Treatment","Ferroptosis_ES_Prognosis_36050939","Ferroptosis_ES_Prognosis_36050939","8/100","37/3486",0.216216216216216,7.5372972972973,6.86926728230068,6.71980498334121e-06,1.46472352638033e-05,2.6583004108536e-06,"PIK3CA/ALOXE3/GABARAPL2/CDKN2A/SOCS1/MAPK14/ACVR1B/SIRT1",8
"Treatment","Treatment","Necroptosis_AML_37993258","Necroptosis_AML_37993258","6/100","18/3486",0.333333333333333,11.62,7.7620983149666,6.73436104082911e-06,1.46472352638033e-05,2.6583004108536e-06,"FLT3/EGFR/CDKN2A/MAPK8/IDH1/SIRT1",6
"Treatment","Treatment","Necroptosis_Pan Cancer_36044785","Necroptosis_Pan Cancer_36044785","6/100","18/3486",0.333333333333333,11.62,7.7620983149666,6.73436104082911e-06,1.46472352638033e-05,2.6583004108536e-06,"FLT3/EGFR/CDKN2A/MAPK8/IDH1/SIRT1",6
"Treatment","Treatment","Ferroptosis_HNSCC_Prognosis_34906855","Ferroptosis_HNSCC_Prognosis_34906855","7/100","27/3486",0.259259259259259,9.03777777777778,7.20444467091525,7.18127446264992e-06,1.52383141036718e-05,2.76557424749034e-06,"G6PD/ATG5/WIPI2/EGFR/CDKN2A/SOCS1/MTDH",7
"Treatment","Treatment","NETosis_UC_40963602","NETosis_UC_40963602","4/100","6/3486",0.666666666666667,23.24,9.36868636755551,9.15792466278827e-06,1.896998680149e-05,3.44282882059709e-06,"CYBB/MAPK3/MAPK1/TLR4",4
"Treatment","Treatment","paraptosis-like death_GeneCards","paraptosis-like death_GeneCards","3/100","3/3486",1,34.86,10.0815836566832,2.29220237801212e-05,4.63771178807102e-05,8.41689979686211e-06,"TP53/MAPK8/MAPK14",3
"Treatment","Treatment","Paraptosis_GeneCards","Paraptosis_GeneCards","4/100","8/3486",0.5,17.43,7.99421239051243,4.08757887410436e-05,8.08225822834271e-05,1.46683452420013e-05,"TP53/MAPK1/MAPK8/MAPK14",4
"Treatment","Treatment","Autophagy_Pan Cancer_41554207","Autophagy_Pan Cancer_41554207","8/100","49/3486",0.163265306122449,5.69142857142857,5.68291678494686,5.9038000775388e-05,0.000114140134832417,2.07150879913642e-05,"ACSL4/HMOX1/GABARAPL1/WIPI1/LPIN1/TNFAIP3/ATF3/SIRT1",8
"Treatment","Treatment","Apoptosis_Pan Cancer_35241019","Apoptosis_Pan Cancer_35241019","4/100","9/3486",0.444444444444444,15.4933333333333,7.48074936529032,7.19582060793789e-05,0.000136094868019695,2.4699613070725e-05,"PIK3CA/TP53/BID/ATM",4
"Treatment","Treatment","Efferocytosis_TNBC_41198835","Efferocytosis_TNBC_41198835","3/100","4/3486",0.75,26.145,8.64619779697036,8.97729906358407e-05,0.000166175535857833,3.01588994297337e-05,"PIK3CA/IFNG/TLR4",3
"Treatment","Treatment","Ferroptosis_CCA_Prognosis_36733386","Ferroptosis_CCA_Prognosis_36733386","4/100","12/3486",0.333333333333333,11.62,6.33225137610258,0.000264473877832375,0.000479358903571179,8.69979861290707e-05,"SLC1A5/GOT1/ACO1/PEBP1",4
"Treatment","Treatment","Efferocytosis_Pan Cancer","Efferocytosis_Pan Cancer","4/100","15/3486",0.266666666666667,9.296,5.53280011223518,0.000682406822541501,0.00121162027675736,0.000219894787070301,"ALOX12/ALOX15B/HMGB1/SIRT1",4
"Treatment","Treatment","Cuproptosis_Pan Cancer_37968457","Cuproptosis_Pan Cancer_37968457","3/100","7/3486",0.428571428571429,14.94,6.3436979135021,0.000737426352547294,0.00128312185343229,0.000232871479751777,"ULK1/ULK2/CDKN2A",3
"Treatment","Treatment","Pyroptosis_ccRCC_Prognosis_35308143","Pyroptosis_ccRCC_Prognosis_35308143","3/100","8/3486",0.375,13.0725,5.87401881220093,0.00115535669083104,0.00197090259024119,0.000357695569916732,"BECN1/EGFR/ANO6",3
"Treatment","Treatment","Apoptosis_OS_Prognosis_35576501","Apoptosis_OS_Prognosis_35576501","3/100","9/3486",0.333333333333333,11.62,5.48152425892708,0.00169705593320687,0.00283930511901919,0.000515300384576986,"HMOX1/TGFBR1/TLR4",3
"Treatment","Treatment","Ferroptosis_IDD_Down_36814575","Ferroptosis_IDD_Down_36814575","4/100","20/3486",0.2,6.972,4.60233716843663,0.00216891392032782,0.00342132485820279,0.000620930101307221,"CS/KEAP1/ULK2/PEBP1",4
"Treatment","Treatment","Ferroptosis_EGFRWTLUAD_Prognosis_39478024","Ferroptosis_EGFRWTLUAD_Prognosis_39478024","3/100","10/3486",0.3,10.458,5.14656355342164,0.00237409652456531,0.00342132485820279,0.000620930101307221,"NOX4/DUOX1/PEBP1",3
"Treatment","Treatment","Necroptosis_ES_Prognosis_37663658","Necroptosis_ES_Prognosis_37663658","3/100","10/3486",0.3,10.458,5.14656355342164,0.00237409652456531,0.00342132485820279,0.000620930101307221,"BID/MAPK8/MAPK14",3
"Treatment","Treatment","Anoikis_SS_41255601","Anoikis_SS_41255601","2/100","3/3486",0.666666666666667,23.24,6.62180804857158,0.00239885995805023,0.00342132485820279,0.000620930101307221,"MAPK3/IFNG",2
"Treatment","Treatment","Cuproptosis_LUAD_Prognosis_37434829","Cuproptosis_LUAD_Prognosis_37434829","2/100","3/3486",0.666666666666667,23.24,6.62180804857158,0.00239885995805023,0.00342132485820279,0.000620930101307221,"VDAC2/PEBP1",2
"Treatment","Treatment","Efferocytosis_TNBC_Prognosis_41198835","Efferocytosis_TNBC_Prognosis_41198835","2/100","3/3486",0.666666666666667,23.24,6.62180804857158,0.00239885995805023,0.00342132485820279,0.000620930101307221,"IFNG/TLR4",2
